t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_Dab1SFKInh_Obs
0,1.12263506190273,4.28269549862388e-11,2.25389459310612e-08,1.13085226568412e-09,0.00178331965253599
4.5,NaN,NaN,1.95122103596881e-08,NaN,NaN
9,NaN,5.38119786471993e-11,1.99815955379766e-08,NaN,NaN
10,NaN,NaN,NaN,NaN,0.00171492356525206
15,NaN,NaN,2.38290899030612e-08,NaN,NaN
20,NaN,4.67600377858066e-11,2.97593082299992e-08,NaN,NaN
25,0.73456808450414,NaN,1.80639654139073e-08,NaN,0.0016804075800819
30,NaN,8.6405706755538e-11,NaN,1.21308633840421e-09,NaN
35,NaN,NaN,2.04633414283609e-08,NaN,0.00148466413056467
40,NaN,4.82794658866584e-11,3.77489328753033e-08,NaN,NaN
50,1.39461752519516,NaN,NaN,NaN,0.00162481470993321
55,NaN,5.06125066485935e-11,NaN,9.78881274711451e-10,NaN
70,NaN,NaN,NaN,NaN,0.000868904954031442
75,0.994988573945704,3.41836323840227e-11,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.00152707908597162
90,NaN,NaN,NaN,9.46112743840711e-10,NaN
95,NaN,4.86570016011712e-11,NaN,NaN,NaN
100,1.9169224852668,NaN,NaN,8.50475346627437e-10,0.0015716502645926
150,1.23197981182882,NaN,NaN,9.89028100869766e-10,0.00135087901987274
200,1.29035536240677,NaN,NaN,8.54269579714732e-10,NaN
250,1.15304273863777,NaN,NaN,8.66726086147616e-10,NaN
300,0.728385041301657,NaN,NaN,NaN,NaN
350,1.6700063291665,NaN,NaN,9.75506560779457e-10,NaN
400,NaN,NaN,NaN,8.04681497373802e-10,NaN
450,1.22189016819896,NaN,NaN,NaN,NaN
550,1.72772786532818,NaN,NaN,1.11552938001213e-09,NaN
