t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,194.870539199963,1402.85031506922,62.2482583801277,13.2146932002364,332.67451637165,1182.20115315406,1186.73086394116,9.56319521335363e-06
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.21584799940422e-07
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.03004948247894e-07
15,NaN,NaN,NaN,NaN,NaN,NaN,-29.3779160578929,-1.31399621086736e-07
20,NaN,NaN,NaN,NaN,2.09223579629921,22.7449727554316,NaN,NaN
25,2320.34607518893,NaN,NaN,NaN,NaN,NaN,NaN,-4.39954356013292e-07
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.90210598913033e-08
35,NaN,5418.74132984888,NaN,NaN,NaN,7.51432103324884,-17.7123047803817,NaN
40,NaN,NaN,3632.46397136535,NaN,NaN,NaN,NaN,1.2223144487579e-07
45,NaN,NaN,NaN,NaN,-0.140519825433001,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,3.09144195909826,-1.31289385878516e-07
55,576.579750529352,NaN,NaN,NaN,NaN,-24.9823124900252,NaN,NaN
65,NaN,NaN,NaN,13.164246008968,NaN,NaN,NaN,3.17447169791933e-07
70,NaN,1019.67623016454,NaN,NaN,13.7966933725924,NaN,-20.9570358385373,NaN
80,NaN,NaN,496.565416188566,NaN,NaN,42.805738362,NaN,NaN
85,195.086393928387,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,-35.3080776544204,NaN
95,NaN,NaN,NaN,NaN,2.05802289131154,NaN,NaN,NaN
100,332.186698026927,862.974072478183,349.726155724037,NaN,NaN,-4.47255111872504,-7.30495725170935,NaN
150,427.6378892551,346.957053998426,438.876061984534,23.3504727349604,-20.3693828278101,-27.4447060984487,32.6533773755134,NaN
200,110.250922524877,511.110812149941,NaN,53.6493462249979,-10.8103484795489,14.1026862379462,39.8177750775856,NaN
250,383.048610223521,884.84125547506,328.804126843697,29.9106259701306,-6.41242568966164,30.0208890273828,7.51308081791584,NaN
300,395.017512872153,NaN,447.842586178836,NaN,9.83303951578058,-25.6017380396207,2.80384442922146,NaN
350,429.578918958325,-82.0501033935514,NaN,45.7872993854539,NaN,32.7865266248998,NaN,NaN
400,NaN,654.089970931046,275.655685796952,NaN,0.685217943289915,NaN,NaN,NaN
450,637.047718424102,NaN,NaN,31.5063626164764,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,52.4531584106445,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,29.3080990699177,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,64.3534849838882,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,77.0444464134396,NaN,NaN,NaN,NaN
1500,NaN,NaN,NaN,44.5775313744401,NaN,NaN,NaN,NaN
