t,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,SFK_Obs,Compound_1_Obs
0,1.00217021767807,-8.49765077674596e-08,0.00334466177435102,1.01326491249736
15,0.0114602712399619,NaN,NaN,NaN
20,NaN,NaN,0.00282865358306419,0.0110781556872719
35,0.00964085713952268,4.14857526710557e-06,0.00290520125404873,-0.00338645760320385
55,0.00825408386740975,NaN,0.00293741898333317,0.00168774465505653
70,NaN,3.85878449622021e-06,NaN,NaN
75,0.0109633026147358,NaN,0.00300232082341252,NaN
80,NaN,NaN,NaN,0.00337992821241052
100,-0.00290482624681863,3.74218822264479e-06,0.00357372012739574,0.0135861141485224
150,-0.00172463990017516,3.69219696873495e-06,0.00347238633512817,-0.00892218104652029
200,NaN,3.56870026470564e-06,0.00372836656370378,0.00302562247625316
250,NaN,3.77027372338902e-06,0.0035615222051757,NaN
300,NaN,3.65071584680137e-06,0.00320797445557841,NaN
400,NaN,3.03601912491038e-06,NaN,NaN
450,NaN,8.50532037754114e-06,NaN,NaN
600,NaN,3.41839703336357e-06,NaN,NaN
