t,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,0.972332601955032,7.85251036956959e-08,1.0181009735798
15,NaN,3.975267914962e-06,NaN
20,0.260956507276308,NaN,0.237166956855942
35,NaN,3.67540190313773e-06,NaN
40,0.281474622793734,NaN,0.284323667507868
50,NaN,3.66280229709696e-06,NaN
60,0.273189802796743,NaN,0.336870092772217
70,NaN,3.41781917779887e-06,NaN
80,0.246238896957387,NaN,0.298064522504361
90,NaN,3.76560543220707e-06,NaN
100,0.322522447717516,3.63371575968757e-06,0.302218485676084
150,0.301044590833729,3.18690796110256e-06,0.312896576216375
200,0.325602555894924,3.12598134050073e-06,0.282195298026569
250,0.347446340713935,3.53766861225169e-06,0.372609535366061
300,0.384770958588305,3.6423560784905e-06,0.391785030134333
350,0.402317635626041,3.37025382802477e-06,0.465955468642087
400,0.444494074571077,NaN,0.440685421669811
450,NaN,NaN,0.480292108468428
500,0.532727406739505,NaN,NaN
550,NaN,NaN,0.572328122655359
