t,Reelin_input,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,Compound_1_Obs
19,0,1.00465049960949,-3.17648030305203e-07,1.01099094962801
19,0.00012207,0.977598776766172,8.72695280988322e-07,0.999539546169963
19,0.00024414,1.01228541047261,2.52065576358589e-06,1.03980258876437
19,0.00048828,1.00446842921317,3.41481844677812e-06,0.961479327800539
19,0.00097656,0.94558609375749,3.72503082137109e-06,0.917098232552519
19,0.0019531,0.829269948486148,3.66640100362792e-06,0.767840579588993
19,0.0039062,0.596922015485833,3.73350049554183e-06,0.548831197397496
19,0.0078125,0.291542182466014,3.9501194525814e-06,0.273997055538557
19,0.015625,0.143905515841108,3.92232951819005e-06,0.169463519882253
19,0.03125,0.0966341800497462,4.09169146099487e-06,0.0235663170504532
19,0.125,-0.00269391436792681,3.836919067078e-06,0.0457783222362852
19,0.25,-0.020974208987906,4.13032619203828e-06,-0.0120143213192933
19,0.5,0.00399055706421236,3.91758267081744e-06,0.0830661480860417
19,1,0.0141717306723274,3.95311058458572e-06,0.0204342782926969
