t,ApoER2_Dab1_Obs,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,1.18826306814487,0.00297067900061529,1.15066882577902
30,1.01756571775852,0.268091830034079,1.00265524747918
55,NaN,0.441082749476225,NaN
60,0.861434165191124,NaN,NaN
65,NaN,NaN,0.852609450275675
85,NaN,0.591830636262426,NaN
90,0.686426006356485,NaN,NaN
100,NaN,0.728707092674344,0.681359154947111
150,0.49783005715276,0.881753114186599,0.497667772433903
200,0.432323484706856,1.1650432427977,0.370823218628216
250,0.331663765169068,1.23077669757853,0.396421960421959
300,0.288749563776578,1.29946971748519,0.283818020389146
400,0.271462414222689,1.59717888787951,0.252673941429039
450,NaN,1.52635723599753,0.217402885991712
500,0.15861325115666,NaN,NaN
600,0.241971935473329,1.88183052143314,0.210079542988613
