t,ApoER2_Dab1_Obs,SFK_Obs,Compound_1_Obs
0,1.24550220601063,2.9039198039262e-08,1.24947520370069
25,1.17690786234598,2.99025548601666e-08,1.22863748804046
45,NaN,2.63521256316054e-08,NaN
50,1.30178649468384,NaN,1.27451564096478
70,NaN,2.75870613823906e-08,NaN
75,1.29544024543751,NaN,NaN
80,NaN,NaN,1.38569711486893
100,1.34020148249424,2.76411428477752e-08,1.3540925972023
150,1.37213934436383,2.86338650502584e-08,1.37897952373513
200,1.60886928065272,2.83133265817571e-08,1.45750644616957
250,1.60786907424881,2.41797888876748e-08,1.63408190023477
300,1.63729954225671,2.45664978497485e-08,1.53976041503154
350,1.71374961473169,2.65396405026651e-08,1.71536435450365
450,1.93533427800779,2.39886456783204e-08,1.78835962562447
550,2.09579802738806,2.43865137720435e-08,2.18129441750776
