timepoint,Ind_Obs,Compound_1_Obs
0,-0.000172247183509276,10.0346320134168
350,0.00299185756191042,NaN
400,NaN,0.00992963191956752
750,0.00297430783534079,0.142279691174321
1000,0.00274275105265273,0.104876217033134
1500,0.00250843637664724,0.444487741852858
2000,0.00210546905323347,0.724484932903187
2500,0.00199802145766117,1.14675765012875
3000,0.0020728524730674,NaN
3500,0.00193142053278162,0.924713164971508
4000,NaN,0.999989380616126
4500,0.00140002078583983,NaN
5000,NaN,0.869072723583863
5500,0.0013802624090456,NaN
6000,NaN,0.860773079340242
6500,0.0014153672637331,NaN
7000,NaN,1.02045855522568
7500,0.00104494751306341,NaN
8500,NaN,0.910318964888644
