timepoint,Ind_Obs,Compound_1_Obs
0,0.00223299596358688,9.71939636243601
150,NaN,10.2218365712615
250,NaN,9.72415166248497
400,0.00129765470878681,10.0881505315857
550,NaN,9.60920877406888
700,NaN,9.86312250930052
800,0.00633670426673376,NaN
900,NaN,8.18399099674095
1000,0.00291574139729135,9.21246189170058
1500,0.0595344888366327,6.92173469751546
2000,0.398423191876631,2.45857013123092
2500,NaN,0.697282188376125
3000,0.215892633856059,2.18055721756981
3500,0.141206649783038,NaN
4000,0.10981172675048,NaN
5000,0.0633712987276238,NaN
6000,0.0490480436980516,NaN
7500,0.0292481885388519,NaN
