timepoint,Ind_Obs,Compound_1_Obs
0,0.0112430144173729,10.495260782735
300,NaN,9.40781580399878
500,-0.0272188417499137,NaN
600,NaN,8.98736632578589
900,NaN,8.79465586905311
1000,0.0477434672893186,NaN
1500,0.216167314671657,5.51056458185154
2000,0.690870237823465,3.28313177908094
2500,NaN,1.14096002893979
3000,0.895179261431633,1.41701167513236
3500,0.788669261170491,0.051099142621413
4500,0.462965896676518,0.469499364980248
5500,0.283772477835642,0.521900826650913
7000,0.19686629033253,NaN
8500,0.0718953829661264,NaN
