timepoint,Ind_Obs,Compound_1_Obs
0,-0.000139053367707374,9.98539709577781
400,0.00269266297211951,0.146332976797306
850,0.00270473387796704,0.0481473955710737
1500,0.00250619992603177,0.403887229090294
2000,NaN,0.406722537983055
2500,0.00224086018408071,0.841362911773767
3000,0.00218560848503525,0.856646818259627
3500,0.00191478560855625,0.729221734638348
4500,0.00145158404324309,0.696355747583881
5000,0.00144536879966241,NaN
5500,NaN,0.889125863838105
6000,0.00147045058813984,NaN
7000,NaN,0.856089271600225
7500,0.00130160385078186,NaN
8500,NaN,0.885136366329137
