timepoint,Ind_Obs,Compound_1_Obs
0,-0.0238371034450666,10.2331726637082
400,-0.00238547794237326,NaN
450,NaN,10.0898214209696
800,0.0284820268818828,NaN
900,NaN,9.44873255728623
1000,0.0291472233149171,NaN
1500,0.0296789570872738,9.44530471258705
2000,0.40061136219847,9.07314281468415
2500,0.753436909793862,8.54676481529765
3000,NaN,6.57158672638928
3500,1.01139342903529,NaN
4000,0.883607094209227,4.4476234653031
4500,NaN,3.86296144229779
5000,0.594399871184984,NaN
6000,0.430723541885075,2.11840578216658
7000,0.273097665322337,1.88763606119335
8500,NaN,0.675363253635831
