timepoint,Ind_Obs,Compound_1_Obs
0,0.000167046612084675,9.94948225255028
100,NaN,-2.87683365241161e-05
250,NaN,0.0854146699859105
350,NaN,0.034694679900967
450,0.00287603426190777,NaN
500,NaN,0.0688729735591094
700,NaN,0.0857380374888902
900,NaN,0.283678085042882
950,0.0027330298990695,NaN
1000,NaN,0.333309994227348
1500,0.00226051911283644,NaN
2000,0.00250465615585225,NaN
2500,0.00214116628636166,NaN
3500,0.0020191623499039,NaN
4000,0.00177027103327486,NaN
5000,0.00156229062314671,NaN
6000,0.00125032661582712,NaN
7000,0.00132372507777322,NaN
8500,0.000910609611557153,NaN
