timepoint,Ind_Obs,Compound_1_Obs
0,-0.00760336427226268,10.3591647255513
85,NaN,9.61701290851398
150,NaN,9.98615870222539
250,NaN,9.78471996404577
350,NaN,10.1798811075216
400,0.0286959404553861,NaN
450,NaN,9.01329479152215
550,NaN,8.56784478509234
700,NaN,6.17526303454653
800,0.139491073713266,NaN
850,NaN,5.58231771367192
1000,0.52134574766311,2.78657318661898
1500,1.32064688611955,1.22568248060977
2000,1.12827265283959,1.28520645224238
2500,0.844831367975212,NaN
3500,0.431145161476298,NaN
4000,0.32842438996031,NaN
5000,0.228276036143974,NaN
6000,0.158332452048297,NaN
7500,0.0874088597116931,NaN
