timepoint,Ind_Obs,Compound_1_Obs
0,0.00404430525046701,10.1468417501517
200,NaN,9.79378062729169
350,NaN,9.56195407386924
400,-0.00446133482750891,NaN
550,NaN,9.28448750793221
750,NaN,8.48229890462179
800,0.0426122497798207,NaN
1000,0.194567277746533,5.82194313323268
1500,0.818043161487825,1.35247530189001
2000,1.17814923945906,1.04574770420397
2500,0.989401788599117,1.11016725584999
3000,NaN,0.11346589423557
3500,0.532371164255394,0.467913517691114
4000,0.450697493230904,NaN
5000,0.247902047354132,NaN
5500,0.203826564463463,NaN
7000,0.141902599360814,NaN
8000,0.11263722729703,NaN
