timepoint,Ind_Obs,Compound_1_Obs
0,6.91394370597042e-06,10.0050044630378
150,NaN,0.177402494515124
350,NaN,-0.0021094797328777
400,0.00292913742898143,NaN
500,NaN,0.116065386099849
750,NaN,-0.163998202184412
850,0.00277714227762553,NaN
1000,NaN,0.184656666435458
1500,0.00264494804930026,0.418328378784762
2000,0.00239810514760003,NaN
3000,0.00181983210592117,NaN
3500,0.0018758622072725,NaN
4000,0.00161734809364774,NaN
5000,0.0015036576530395,NaN
6000,0.00124725914961735,NaN
7000,0.00130583155034852,NaN
8500,0.000911124366720353,NaN
