timepoint,Ind_Obs,Compound_1_Obs
0,0.0259719223583991,9.58566362988824
400,-0.0190888331926444,10.7668460315257
800,0.039751988356829,NaN
850,NaN,9.83539396898061
1000,0.012795261131432,NaN
1500,0.23639180503034,9.08502891425854
2000,0.585411703923838,8.31221507016314
2500,0.723306078248602,6.41375525296657
3000,0.835687705978702,6.25376985056254
4000,0.594742521896533,4.60307537641039
4500,0.54132521716466,3.31450915360137
5500,0.45454130292119,4.42095426986664
6500,0.308188506159224,NaN
7000,NaN,2.85496607781829
7500,0.273000476914628,NaN
8500,0.228349107228028,1.3869605581169
