timepoint,Ind_Obs,Compound_1_Obs
0,-0.016892631230257,9.50263807929074
350,-0.00685933004146607,NaN
450,NaN,10.5306608638896
750,-0.0298806146575945,NaN
900,NaN,10.2884440330616
1000,0.0123243187097475,NaN
1500,0.0215509923520064,9.70279900202602
2000,0.0803720963088567,9.10048271838724
2500,0.199564217313287,8.84532623747394
3000,0.439044663915118,7.3504241241689
4000,0.843490004051421,5.65603868397055
4500,0.877682619068155,NaN
5000,NaN,6.12997550126785
5500,0.731828324810152,NaN
6000,NaN,4.24382499314335
6500,0.519659744539401,NaN
7500,0.358930616946409,2.59931371800328
