timepoint,Ind_Obs,Compound_1_Obs
0,-0.0105042502807195,9.00631065425922
100,NaN,10.3490852695981
250,NaN,9.85170735957355
350,0.0349943802217918,NaN
400,NaN,8.64253077265197
500,NaN,8.90383661248515
650,NaN,7.33499715618716
700,0.0464009942008185,NaN
850,NaN,4.69872037870099
1000,0.468859730451875,4.14954513284555
1500,1.23616266697119,1.51233370299584
2000,1.10626007867443,1.14531417510004
2500,0.872169147709847,1.14587088177557
3000,0.598382103886746,NaN
3500,0.471400940988324,NaN
4500,0.273737957489155,NaN
5000,0.242229700142688,NaN
6500,0.0945789698807046,NaN
7500,0.0499634983457303,NaN
