timepoint,Ind_Obs,Compound_1_Obs
0,0.0105345479523731,10.0912404664838
450,0.0175098377122186,10.0021943064523
900,0.00889354687850989,9.67596989084586
1500,-0.00381992090224317,9.1509646220083
2000,0.00514926696575025,8.76246702556159
2500,0.0787488720413486,9.56708647081334
3000,0.161138069558744,9.07437435241333
4000,0.494674720946366,8.5634919401002
4500,0.640728143909519,6.79709880752611
6000,0.7829786747094,5.99322169866853
7000,0.635980463643478,3.48914682953155
8500,0.377302343467812,2.11506830338629
