timepoint,Ind_Obs,Compound_1_Obs
0,0.00470441779773274,10.3220341592534
300,-0.00549849002582741,NaN
400,NaN,9.26490787840067
550,0.00226302786855094,NaN
800,NaN,9.94851987326699
900,0.00841644922661322,NaN
1000,0.0103425046945655,8.78640251592365
1500,-0.00246485831588472,10.5257936594521
2000,0.026710786538719,9.19165967191432
2500,0.0740186781187955,NaN
3000,NaN,8.8299301071848
3500,0.27029044114028,8.78768069270783
4000,0.394094039276548,NaN
4500,NaN,7.1449047610908
5500,NaN,6.15507018627766
7000,NaN,5.29304878857429
8500,NaN,4.04688281325241
