timepoint,Ind_Obs,Compound_1_Obs
0,0.0395450516905087,9.57602457618192
150,NaN,9.65924272964985
350,NaN,10.1198430168566
400,0.00275485141292918,NaN
550,NaN,9.03516268047895
750,-0.00692258890940456,8.8705360033026
950,NaN,8.41926785049306
1000,0.0329154054343768,8.05086523595005
1500,0.277776317093088,4.29466623095397
2000,0.814921809415529,1.88700677277328
2500,1.03751633554134,1.50454469077623
3000,0.970530477721708,1.47961864715417
3500,0.732556605235778,-0.151928892598389
4500,0.393597288672046,NaN
5000,0.285533619441125,NaN
6000,0.173325032893942,NaN
7500,0.0959082748041473,NaN
8500,0.137246637235419,NaN
