timepoint,Ind_Obs,Compound_1_Obs
0,0.000411175141577425,9.96657611773907
300,NaN,0.0729704069838391
400,0.00308514079656437,NaN
600,NaN,0.13817739784839
850,0.0026244829856933,NaN
950,NaN,0.470490411937725
1500,0.00243514409818064,0.763459709232774
2000,0.00230473293222168,1.39219036248109
2500,0.00234911474134099,1.41181290967259
3000,0.00199354635441536,NaN
3500,0.00180450289114113,1.54299660539691
4000,NaN,1.66050526017114
4500,0.00190698102893623,NaN
5000,0.00166281184965926,1.58292024535876
6000,0.00161370715707855,1.72969534011153
7500,0.00114178702125492,NaN
8500,0.00116410754702193,NaN
