timepoint,Ind_Obs,Compound_1_Obs
0,-5.47550865108619e-05,10.0511299733915
150,NaN,-0.132257231786639
300,NaN,0.112125943575011
400,0.00281964223629953,NaN
500,NaN,0.0829394378525461
700,NaN,-0.0212236693325476
800,0.00295463408424713,NaN
950,NaN,0.0635713003186605
1000,0.00295627488147226,0.302760919118179
1500,0.00236428150574768,0.46331137522931
2000,0.00216156588661554,NaN
2500,0.00208213106254218,NaN
3500,0.00208129968491521,NaN
4000,0.00168874408215797,NaN
4500,0.00151530617904323,NaN
5500,0.00175045586496959,NaN
6500,0.00127749148915579,NaN
8000,0.000892631755898818,NaN
