t,Rec2_Obs,IR2_Obs,InsulinFragments_Obs
0,379.598769738313,0.0208342509480967,0.166893811524564
7.5,NaN,0.316447368985667,NaN
10,362.7879326212,NaN,0.16787772769781
15,NaN,0.305248672151731,NaN
20,338.620655630156,NaN,0.692260169930989
25,NaN,0.241292864226825,NaN
30,403.813806411697,0.28601193779074,NaN
35,NaN,NaN,1.3448398202741
40,NaN,0.219457575343544,NaN
45,337.889200390308,NaN,1.461647814514
50,NaN,0.224911896587888,NaN
55,373.91292072217,NaN,NaN
60,NaN,NaN,1.99595890492543
65,NaN,0.23679547574475,NaN
70,311.280742568875,NaN,NaN
80,NaN,0.205836648167787,2.84061031831298
90,347.900959697053,NaN,NaN
95,NaN,0.1724591194565,3.90938144859281
100,344.483345268448,0.166255729381526,3.86586299204245
150,451.954387407068,0.0977865566072354,5.83586567752359
200,387.568956080124,NaN,6.46779958865241
