t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,IR2in_Obs,InsulinFragments_Obs,BoundUnspec_Obs
0,103.191459830144,47.291381483901,355.413282662957,-0.0375570385990075,-0.149340372598859,1.03839991075752,-2.12734554859986,-0.729070600788876
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.0904509901209
6.5,NaN,NaN,NaN,0.559640093649476,NaN,NaN,NaN,NaN
9,37.0326979527119,37.1905069012031,NaN,NaN,1.73111456040047,NaN,NaN,NaN
9.5,NaN,NaN,301.518638569418,NaN,NaN,14.9824119432885,-0.419670117861432,35.2268698790327
15,NaN,NaN,NaN,0.510552206674677,NaN,NaN,NaN,33.4210697810885
20,34.9795824292396,42.5879714085662,349.710136700003,0.513431568041428,2.57343837183446,19.4979022328821,6.1837011129975,30.5927482145254
25,NaN,NaN,NaN,0.407768574104996,NaN,NaN,NaN,31.4750644425894
30,32.3770418354637,39.8728446350363,349.42798734411,NaN,2.47790448970651,20.5107557007123,8.30425404852803,30.9901532261434
35,NaN,NaN,NaN,0.415926945628753,NaN,NaN,NaN,NaN
40,30.4874885577215,32.0741738333311,378.216228183753,NaN,3.2625968980423,23.0650079019425,15.7803628300185,32.0802234419533
45,NaN,NaN,NaN,0.361572928969506,NaN,NaN,NaN,NaN
50,28.8540540706747,35.9761356561145,387.333858716972,NaN,3.1014731571496,18.5111999831933,NaN,29.2857389693832
55,NaN,NaN,NaN,0.35602583920732,NaN,NaN,20.7298081924421,25.6661037782427
60,26.6570007402834,27.4326587337261,NaN,NaN,2.94061374118045,NaN,NaN,NaN
65,NaN,NaN,279.114204544868,0.305324681539911,NaN,18.0771496763131,21.0238246271037,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.5960792865127
75,20.5707090668476,31.1597009445959,394.562868076965,NaN,2.72986938483265,17.6965081128252,NaN,NaN
80,NaN,NaN,NaN,0.360535700982691,NaN,NaN,NaN,22.6646521171668
85,NaN,NaN,NaN,NaN,NaN,NaN,32.5709145692323,NaN
90,19.2433642174282,43.7331381970293,NaN,NaN,2.51271842623985,NaN,NaN,NaN
95,NaN,NaN,358.2313614992,0.283319383864644,NaN,15.9760898056664,NaN,NaN
100,20.8168429118579,45.9169218332441,404.133816322612,0.237027728699713,2.59513772654259,18.5056507931425,41.8295755489704,20.3970335012744
150,10.1733582669649,41.2653850673867,352.899455923917,0.299828249836597,2.1158681853583,11.4738751225942,49.0168762018603,NaN
200,8.05795078881584,30.3370359217286,402.856587524369,NaN,1.66400413827404,7.4969015107922,67.1867473764529,NaN
