t,Ins_Obs,Rec1_Obs,IR1_Obs,IR1in_Obs,IR2in_Obs,BoundUnspec_Obs
0,983.360884878931,46.1747464900999,-0.0510994887540043,2.45546153646138,-1.19483022915692,23.4276489533984
5,NaN,NaN,NaN,NaN,NaN,413.413531337182
5.5,NaN,NaN,4.20629193685227,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,88.524066699661,NaN
8.5,NaN,28.7202931361472,NaN,NaN,NaN,NaN
9,392.205106962336,NaN,NaN,14.1761632005784,NaN,NaN
10,NaN,NaN,3.72357780018908,NaN,NaN,420.801497647191
15,NaN,22.8649938344336,3.19247630886442,NaN,144.846662221199,448.174394281803
20,316.383153140685,NaN,NaN,21.0509746095644,NaN,382.267889094674
25,NaN,19.9952513775575,2.38562092750275,NaN,178.172630681432,397.18897470044
30,357.830792879502,NaN,2.53527361067232,20.0232329907251,NaN,NaN
35,NaN,19.3359938963955,NaN,NaN,133.004733249332,374.948185672481
40,378.3002756722,NaN,2.56800327354795,18.9288653222992,NaN,395.488788726664
45,NaN,22.2786220336795,NaN,NaN,140.683178482948,NaN
50,344.573586185223,NaN,2.76643443112746,21.4787727304542,NaN,330.727209286306
55,NaN,20.6527607089793,NaN,NaN,146.354195131124,311.346183448376
60,320.405426054696,NaN,NaN,18.3081395218287,NaN,NaN
65,NaN,22.1221424424737,2.63539498878731,NaN,126.032885499538,NaN
70,NaN,NaN,NaN,NaN,NaN,343.28112987778
75,317.036823763478,NaN,2.88236455287976,19.4150175651026,NaN,NaN
80,NaN,25.8969206425668,NaN,NaN,135.148100889795,231.321244184184
90,NaN,NaN,NaN,17.2604619204298,NaN,NaN
95,274.065075789156,22.3331992032468,2.4480223221898,NaN,123.151367952152,256.424816650209
100,290.187021603785,25.0908709275887,NaN,20.58606709665,136.836349017023,227.510235213989
150,230.411623899239,25.1473533779608,NaN,14.5628849203676,116.214575905581,205.456832458043
200,153.803318586942,26.7996171441809,NaN,13.3820007351752,79.4279888416951,NaN
