t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,IR2in_Obs,InsulinFragments_Obs,BoundUnspec_Obs
0,9911.6822086664,44.560636890737,377.141435110302,0.564696376460745,-4.69124020208531,15.9880161718033,65.4657693701581,555.520040466497
3,5185.65508858344,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,8.24406117816653,76.5539136960981,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,12.627462426355,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,339.029874670235,NaN,NaN
6,4611.43969646029,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4929.65602735554
7.5,NaN,6.30874873817865,44.7988149921925,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,28.5333114073738,NaN,NaN,NaN
8.5,NaN,NaN,NaN,6.96193508283562,NaN,NaN,34.3163955555573,NaN
9,4061.97372156714,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,4.28744354606345,32.7278551897022,NaN,NaN,258.539994791702,NaN,NaN
15,4859.89823076602,3.5100818271761,30.3115605605654,5.35480638380004,38.9334238353396,305.475598657495,29.7661245890694,5176.89184708141
20,4491.78195260179,3.63235408551652,36.1812845583206,5.20162433001055,NaN,337.998581403373,NaN,5165.35445769984
25,4463.08273277177,1.75602867977591,34.8990038102449,4.33168901398272,34.5927630982598,322.853896354388,126.625360641314,4684.42604730058
30,4757.05106462288,NaN,20.28602359441,4.58533474291346,NaN,NaN,NaN,NaN
35,NaN,3.97809975304954,NaN,NaN,38.2925109557801,341.095098446943,282.805406519302,5032.96810329753
40,3908.38209639309,1.54210351672528,36.7419276765432,4.95644919754794,36.9195294266986,NaN,NaN,4411.0022686795
45,NaN,NaN,NaN,NaN,NaN,283.956031802363,326.555635964907,NaN
50,3989.59762511365,2.21106707539409,42.713290410106,4.37765696043796,NaN,NaN,NaN,4664.31811405016
55,NaN,NaN,NaN,NaN,36.4819123390595,306.297844378339,NaN,NaN
60,NaN,3.30955590146975,26.6155019945879,4.50178947827301,NaN,NaN,326.689555987958,4065.51260770765
65,NaN,NaN,NaN,NaN,36.9632503612334,319.162007584565,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,561.088266801733,4634.64570954432
75,NaN,NaN,NaN,NaN,31.8760705992301,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,293.67940590788,NaN,5009.17102045699
85,NaN,NaN,NaN,NaN,NaN,NaN,593.315262562082,NaN
95,NaN,NaN,NaN,NaN,33.2155171942994,301.055405871202,NaN,4333.29569846729
100,NaN,NaN,NaN,NaN,32.3847289067179,NaN,643.118715574605,4350.10636113967
150,NaN,NaN,NaN,NaN,37.4354333941171,NaN,1016.43107222719,4642.09993476538
200,NaN,NaN,NaN,NaN,31.7367128097903,NaN,1275.17008914888,4412.83707595779
