t,IPR_R_Obs,IPR_I1_Obs
0,0.750152380546354,5.66221897253991e-11
0.08,0.111737126626577,NaN
0.15,0.00575833920622167,NaN
0.25,0.000491992257984213,NaN
0.3,NaN,1.90794411387083e-07
0.35,0.00110876682905406,NaN
0.5,0.00141597081467854,NaN
0.6,0.00066680561766489,NaN
0.65,NaN,4.43877125855023e-08
0.75,0.00203828676761306,NaN
0.95,0.000861561546114077,NaN
1,NaN,9.11165474295071e-08
1.5,NaN,1.95927962786007e-08
2,NaN,1.01654262689114e-08
3,NaN,6.02548185714026e-10
3.5,NaN,2.18817672308814e-10
4,NaN,1.88910007703058e-10
5,NaN,4.58271001640488e-10
