t,IPR_R_Obs,IPR_I1_Obs
0,0.741207078505339,6.44088383751164e-11
0.085,0.146196323186255,NaN
0.15,0.0487762722637091,NaN
0.25,0.0150775098603607,NaN
0.3,NaN,1.55853319383487e-06
0.35,0.00759776479831079,NaN
0.5,0.000737825918143327,NaN
0.55,NaN,5.24238019257931e-07
0.6,0.00032180993958344,NaN
0.75,0.000302560747851107,NaN
0.85,NaN,8.8485394675744e-08
0.95,0.00120562304771896,NaN
1,NaN,2.12041539962911e-07
1.5,NaN,1.16775533343056e-08
2,NaN,8.93839563291459e-09
2.5,NaN,1.08512800992438e-08
3,NaN,1.34362131598462e-09
3.5,NaN,9.49673709822508e-10
4,NaN,3.14962548385073e-10
5,NaN,6.23747200127933e-10
