t,IPR_R_Obs,IPR_I1_Obs
0,2.19606700069296,2.89392374549022e-11
0.095,0.0078855330186013,NaN
0.15,NaN,4.43247657098905e-07
0.2,0.00162246457498022,NaN
0.3,0.000635038648513364,2.03336011233732e-07
0.4,0.00161978176852043,NaN
0.45,NaN,1.08202648956936e-07
0.55,0.00067891607780436,NaN
0.6,NaN,6.5922533397326e-08
0.7,0.00013893374052464,NaN
0.8,NaN,4.04217763665385e-08
0.9,0.000769880780413554,NaN
1,0.00104290537980622,8.2150288763546e-08
1.5,NaN,2.63322856770015e-09
2,NaN,8.35629209308476e-09
2.5,NaN,5.99305702743894e-10
3,NaN,3.68543857802271e-09
