t,IPR_R_Obs,IPR_I1_Obs
0,0.0946387340467202,1.36122404967193e-10
0.065,0.172397996138855,NaN
0.15,0.00234101501078286,NaN
0.2,0.00118126252327132,2.21524975433166e-07
0.3,0.000898751986155107,NaN
0.35,NaN,3.47417602753088e-07
0.4,0.000295320098977009,NaN
0.5,0.00132416047874036,NaN
0.55,NaN,2.39484710642643e-07
0.6,0.000873588451670658,NaN
0.75,0.000493551654292216,NaN
0.8,NaN,2.00077784411494e-07
1,NaN,1.54050640618125e-07
1.5,NaN,2.55390252900034e-08
2,NaN,4.46937640862065e-09
2.5,NaN,3.34542640705345e-09
3,NaN,3.92028952832601e-10
3.5,NaN,4.50005615991404e-10
