t,IPR_R_Obs,IPR_I1_Obs
0,0.943809968759727,2.17939376954578e-10
0.085,0.0149999431645219,NaN
0.2,0.0017232656266843,5.62632311560635e-07
0.25,0.00131192774594943,NaN
0.4,0.000961215091241844,NaN
0.45,NaN,5.56332592014807e-08
0.5,0.000590547223542177,NaN
0.65,0.00247465154633131,NaN
0.7,NaN,2.18671186956399e-07
0.8,0.00162468035919269,NaN
0.95,NaN,5.08424207654646e-08
1,0.000905313936814841,6.65696735714123e-08
1.5,NaN,7.58717058724866e-08
2,NaN,4.95259785639966e-09
2.5,NaN,4.62749768905981e-09
3,NaN,4.54876420455559e-10
3.5,NaN,1.05548772489823e-09
4,NaN,2.7521423934758e-10
