t,IPR_R_Obs,IPR_I1_Obs
0,0.389593212181217,4.03779982134671e-10
0.08,0.754592849193049,NaN
0.15,0.121307653627236,NaN
0.25,0.0678461322658375,NaN
0.3,NaN,7.61572780027553e-07
0.35,0.0108468523517283,NaN
0.45,0.0117302786829592,NaN
0.55,0.00246738009058907,3.94960439379515e-07
0.7,0.00895478289270517,NaN
0.9,0.0031790365772612,2.07604617232052e-07
1,NaN,2.04593224193369e-07
1.5,NaN,1.84139077807339e-07
2,NaN,4.55173495561569e-08
2.5,NaN,1.502972968209e-08
3,NaN,2.38621201417973e-09
3.5,NaN,8.48202779836509e-10
4.5,NaN,2.77202288874169e-09
5,NaN,4.67870259757998e-10
