t,IPR_R_Obs,IPR_I1_Obs
0,0.380157071940618,1.49910274915392e-10
0.075,0.00696012929777989,NaN
0.15,0.00084344536347955,1.13173449505559e-07
0.25,0.0009136567756018,NaN
0.3,NaN,3.60864367147294e-07
0.35,0.00099451937372907,NaN
0.45,0.000781890678146777,NaN
0.5,NaN,4.37435329552935e-07
0.55,0.00101834561853373,NaN
0.65,NaN,1.29294419531759e-07
0.7,0.000837292748211111,NaN
0.85,NaN,8.18689618960116e-08
0.9,0.00110066284575336,NaN
1,NaN,2.38466534740483e-08
1.5,NaN,1.82151846913818e-08
2,NaN,7.7032418046152e-09
2.5,NaN,2.64523178787151e-09
3,NaN,2.91765673118215e-10
