t,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,0.0108257661846317,0.0103031557169377
6,0.345869986956844,NaN
7.5,NaN,0.00471307241236686
10,0.21429377074097,NaN
15,NaN,0.0168439825402102
20,0.104654467184653,NaN
25,0.0542117405727994,0.0339831200275362
35,0.0566370383338183,0.0612992893754002
40,0.0476373726936518,NaN
45,NaN,0.0737107093544734
50,0.0372302727738225,NaN
55,NaN,0.0626753900575818
60,0.035399826814362,NaN
70,NaN,0.0330460749552726
75,0.0289071511573906,NaN
85,NaN,0.0259516435670193
90,0.0500892240528828,NaN
100,0.0543479265155442,0.0231978246919481
