t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,1.14118184392296e-05,0,0.000182159794054035,0.00648459976351067
8,0.0234900484537733,NaN,NaN,NaN
15,0.0318185007841669,NaN,NaN,0.0273957067718471
20,NaN,0.000155956164214253,0.000233557791484692,NaN
25,0.00877153651178221,NaN,NaN,NaN
35,0.00465702057978633,NaN,0.000300895240277537,0.0181590087159788
40,NaN,0.000402308544885775,NaN,NaN
50,0.00791695318977131,NaN,NaN,0.0134598318653923
55,NaN,NaN,0.000289215619764056,NaN
60,0.00560199217729529,0.000321129565414647,NaN,NaN
70,NaN,NaN,NaN,0.0144743276401667
80,0.00615462729895923,0.000360515374406943,0.000424842644523894,NaN
90,NaN,NaN,NaN,0.00865115391673398
95,0.00316815787913841,NaN,NaN,NaN
100,NaN,0.00043510705777958,0.000429349278567872,0.0123343688529514
150,NaN,0.00104479771201881,0.000265705322975223,0.0133387495758175
200,NaN,0.000367010188148258,0.000283113041391738,0.0153989366985039
250,NaN,0.000394362780419485,0.000295650125112909,0.013709249701902
