t,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,0.000380410229499708,0.000621569763578126,0.00105432103667174
20,NaN,NaN,0.00136512394639082
25,0.000474193481558023,0.00239526684948508,NaN
40,NaN,NaN,0.000847999941139251
45,NaN,0.00223432376457625,NaN
55,0.000435419031797609,NaN,NaN
65,NaN,NaN,0.00124295969498819
70,NaN,0.00191044579539244,NaN
85,0.00144682044172746,NaN,NaN
90,NaN,NaN,0.00103447960096758
100,0.000988528323712581,0.00211110479076508,0.00123039551232079
150,0.00154568406593407,0.0018853753706778,0.00150522937155665
200,0.00143969935534155,0.00139110197232485,0.000838958496082381
250,0.00153190300527442,0.00179890508489775,0.00124194916403681
300,0.00156256571888034,0.00133793162242175,NaN
350,0.00137218382320717,0.00222748923142308,NaN
450,0.00184690042023543,NaN,NaN
