t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,0.0918937498746765,-0.000340871004571541,0.000353992911627161,0.000680545089998757
15,0.682019864671634,NaN,NaN,0.00108242812493841
20,NaN,NaN,0.00249177016799829,NaN
25,NaN,0.000405670488634026,NaN,NaN
30,NaN,NaN,NaN,0.00120899583346337
35,0.344280711156445,NaN,NaN,NaN
40,NaN,NaN,0.00212118341151196,NaN
50,0.311444590685287,NaN,NaN,0.00121163579349724
55,NaN,0.000520651578105916,NaN,NaN
60,NaN,NaN,0.00188272866067314,NaN
70,0.195558198858401,NaN,NaN,0.000991379772443112
80,NaN,NaN,0.00197500693633729,NaN
85,NaN,0.00112779057502803,NaN,NaN
95,0.201055242618223,NaN,NaN,0.000902153540920452
100,0.267186345410325,0.000522845761575024,0.00121482113415981,0.00135748072723821
150,0.349720472881921,0.000934538543465958,0.00134121224819067,NaN
200,0.165319470741963,0.00086434207055958,0.00115077577525411,NaN
250,0.252714382160253,0.000888150034314932,0.001580492175115,NaN
300,NaN,0.00116920139718062,0.00154760880824627,NaN
350,NaN,0.00111290838618641,NaN,NaN
450,NaN,0.00117397659408418,NaN,NaN
