t,epo_level,SOCS3nRNA5_Obs
16,6.6667e-07,0.00107690861455733
16,6.6667e-07,0.00265187576440259
16,1.3333e-06,0.00097432011269477
16,1.3333e-06,0.0011494513543758
16,2.6667e-06,0.00103703696585261
16,2.6667e-06,0.00122882383708958
16,5.3333e-06,0.000797005258579248
16,5.3333e-06,0.000834205633457478
16,1.0667e-05,0.000675398186519061
16,1.0667e-05,0.000933904070771793
16,2.1333e-05,0.00129288159759178
16,2.1333e-05,0.0023577601734543
16,4.2667e-05,0.00144851313239671
16,4.2667e-05,0.0014674299782673
