t,epo_level,PTPAct_Obs
6,2.5e-09,0.000464554217808147
6,7.905e-09,0.000558011108039007
6,1.25e-08,0.000571131180785949
6,1.75e-08,0.000141396630118481
6,2.5e-08,0.000387245674799235
6,2.5e-08,0.000757466653809389
6,2.5e-08,0.00160403365710088
6,3.95e-08,0.000806586199313205
6,3.95e-08,0.000299874831958646
6,3.95e-08,0.000303616597047813
6,7.9e-08,0.000141815264727349
6,1.25e-07,-5.8031783920795e-05
6,1.25e-07,0.00056250683396768
6,1.25e-07,0.000302623296234959
6,1.7675e-07,0.000279246220999322
6,2.5e-07,0.000977409519227404
6,7.905e-07,0.00017479747917874
6,2.5e-06,0.000362345462696806
