t,epo_level,pEpoRpJAK2_Obs
39,2.5e-09,0.0120093626974143
39,2.5e-09,0.0242621370984989
39,2.5e-09,0.0306385221159635
39,2.5e-08,0.0248087837318224
39,2.5e-08,0.0405947655899913
39,2.5e-08,0.0534928516419187
39,1.25e-07,0.0386470441298007
39,1.25e-07,0.0503171927739353
39,1.25e-07,0.0666945261565448
39,2.5e-07,0.036143035254592
39,2.5e-07,0.0487269713090503
39,2.5e-07,0.0680483072747799
39,1.25e-06,0.0325109076381199
39,1.25e-06,0.0512252711002525
39,1.25e-06,0.0532223440586524
39,2.5e-06,0.0270560868027993
39,2.5e-06,0.0379050482784089
39,2.5e-06,0.042422900633805
