t,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,0,0.000358012497729802,0.00131490485274904
20,NaN,NaN,0.00182407525326088
25,NaN,0.00407505377121894,NaN
30,0.000559187642729431,NaN,NaN
40,NaN,NaN,0.00154291940616302
55,NaN,0.00165737239373993,NaN
60,0.000712252837404695,NaN,0.00111944690044374
80,NaN,0.00188016261465978,NaN
85,NaN,NaN,0.000900723293526366
90,0.00160843192449965,NaN,NaN
100,NaN,0.00312597342361269,0.00264392285101621
150,0.000738882604767393,0.00185878313695433,0.000622135386704939
200,0.0011884289426875,0.00205388041016992,0.00191581114737463
250,NaN,0.0011996379573172,0.000846831263460092
300,0.00092677539348547,0.00123615964374899,NaN
350,0.00234966266199741,0.00172080266461904,NaN
450,0.00173305841029628,NaN,NaN
