t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,9.84234923280474e-05,0,0.000284919018656608,0.0220260794310532
8.5,0.231161593540491,NaN,0.00154401053359337,NaN
10,NaN,NaN,NaN,0.0264180949199664
15,0.156307858842038,0.000916278167652843,0.0160194427427105,NaN
20,NaN,NaN,NaN,0.133564455101858
25,0.160347301639982,NaN,0.0528878231885108,NaN
30,NaN,0.00121726127731118,NaN,NaN
35,0.036808968366285,NaN,0.243886472693437,0.0556183301943156
45,NaN,NaN,NaN,0.051355848290508
50,0.0195159932718181,0.00131142838855963,0.110377283775157,NaN
60,0.0197178052580214,NaN,0.151834299525548,0.0419291652407469
65,NaN,0.00196600142741937,NaN,NaN
75,0.0296235232112167,NaN,0.134806784493001,NaN
80,NaN,NaN,NaN,0.0243833194785681
85,NaN,0.00231926097515814,NaN,NaN
90,0.0972251656160446,NaN,NaN,NaN
95,NaN,NaN,0.038156917550444,NaN
100,0.0598327025544097,0.00151868669211979,0.0242494938781393,0.029042295230986
150,0.0610580440952379,0.00182473780025745,0.0209053728631233,0.0169645616619848
200,NaN,0.00177089197714997,NaN,NaN
250,NaN,0.00168565197130256,NaN,NaN
300,NaN,0.00159257602464474,NaN,NaN
