t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.00130900589803991,0,0.000211230235631873,0.00093403465216038,0.000832168457989771
10,NaN,NaN,NaN,NaN,0.00302060520862536
15,0.635430134741705,NaN,NaN,NaN,NaN
20,NaN,NaN,0.00235334373707843,0.000748207383082483,NaN
25,NaN,0.000679015835610183,NaN,NaN,0.00114894125735028
30,0.463482511576892,NaN,NaN,NaN,NaN
40,NaN,NaN,0.00345968223190038,0.00135422008208296,0.00124716815025543
45,0.399449434354167,NaN,NaN,NaN,NaN
55,NaN,0.000723151604349067,NaN,NaN,0.00103689635815863
65,0.223688992432137,NaN,0.00182434366075986,0.00192512568100044,NaN
75,NaN,NaN,NaN,NaN,0.000555610414117183
80,NaN,0.00112030516019675,NaN,NaN,NaN
85,0.236558446238135,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0011763426333922,0.0011629708421674,NaN
100,0.137244989909977,0.000890800147316635,0.00193520967937907,0.00113299396085198,0.000820187302345868
150,0.216408155967702,0.000328508115411879,0.00103670742927686,0.00130639633639018,NaN
200,0.326464978868025,0.00069806200331414,0.000739465084157025,NaN,NaN
250,0.160272741650646,0.00129725891760799,0.000852338692807799,NaN,NaN
300,NaN,0.00136322719392506,NaN,NaN,NaN
350,NaN,0.000947978742339776,0.00134466330174431,NaN,NaN
450,NaN,0.00072372263027863,NaN,NaN,NaN
