t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,7.07938207690815e-05,-0.000132325604723426,-0.00439436823241883,0.0184267546542254,-0.969367155665065,0.0100280577201154,0.013695709141421
15,0.131434990306186,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.000943872536640513,0.0327146829460334,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,0.00437944986916962,NaN,0.072926621634115,NaN
30,NaN,NaN,NaN,NaN,-0.82129533053425,NaN,NaN
35,0.0643588329793938,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,0.00138923378135139,0.130108570682163,NaN,NaN,NaN,0.070456654285049
50,NaN,NaN,NaN,0.108994100441836,NaN,0.0467434964013025,NaN
55,0.0433157159745555,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.00110091313523621,0.0891337122210001,NaN,2.3745099957379,NaN,NaN
75,0.0255901810802173,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.153763435776414,NaN,0.0131722078624049,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.0238619354135019
90,NaN,0.00143321692391774,0.0406803275539477,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,11.5031568912652,NaN,NaN
100,0.0661595753941385,0.00170956926427974,0.0247755510032482,0.146044930486565,NaN,0.021016395849785,NaN
150,0.0478873492202433,0.00200715287251447,0.0230346861077087,0.0440252392347507,15.2645159834665,0.0145075733857166,0.0203118123438564
200,NaN,0.00148802839210972,0.0287981195212646,0.0405251071745701,15.710537463716,0.0138442721774106,NaN
250,NaN,NaN,0.0402067279612666,0.058558138194598,13.6838580830348,NaN,0.0173038504131944
300,NaN,NaN,0.020710050418644,0.0437682944613296,13.075704999661,NaN,0.0192553174283389
350,NaN,NaN,NaN,0.0431285710682846,13.1585253844987,NaN,0.0179450615001005
400,NaN,NaN,NaN,0.05935452638543,NaN,NaN,0.0170780503850948
450,NaN,NaN,NaN,NaN,14.5546810170039,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.0204179256799436
550,NaN,NaN,NaN,NaN,13.7548034376407,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,0.0138047485896074
750,NaN,NaN,NaN,NaN,NaN,NaN,0.0156501583567734
850,NaN,NaN,NaN,NaN,NaN,NaN,0.0151718823288779
