t,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,9.5601073987763e-05,0.0126850816898525
5,0.0528718376016348,NaN
9,NaN,0.0125708923537221
10,0.0222261429415243,NaN
15,0.0351320337792938,NaN
20,0.0317569978053904,0.0189591006029446
25,0.0175801229649736,NaN
30,NaN,0.0160136667920205
35,0.0254263939191931,NaN
40,NaN,0.0263773354274958
45,0.0095185079043775,NaN
50,0.0136987476249493,NaN
55,NaN,0.0152010880971317
65,0.0277273711682576,0.015307304077201
75,0.0120434733279258,NaN
85,NaN,0.0234418069261184
100,NaN,0.0136773186653583
150,NaN,0.0100918704379145
