t,epo_level,pEpoRpJAK2_Obs
16,0,0.000991513231111377
16,0,0.00117871375708015
16,4.2857e-08,0.104400398481171
16,4.2857e-08,0.120811116584975
16,1.4286e-07,0.174959557439454
16,1.4286e-07,0.497741646126896
16,4.2857e-07,0.318476322816598
16,4.2857e-07,0.382561934657826
16,1.4286e-06,0.347657247068951
16,1.4286e-06,0.39759977442913
16,4.2857e-06,0.389134891456578
16,4.2857e-06,0.644345376302005
16,1.4286e-05,0.598247846021443
16,1.4286e-05,0.837097169502214
16,4.2857e-05,0.571890843952695
16,4.2857e-05,0.879562362638458
