t,epo_level,p2EpoRpJAK2_Obs,SOCS3RNA_Obs
12,2.5e-09,-0.090641282772872,-0.000118408240623595
12,2.5e-09,0.0598530637647849,8.64010793694359e-05
12,2.5e-09,0.0677285606245081,0.000269894665756091
12,2.5e-08,0.0532648350374085,0.000342680954333863
12,2.5e-08,0.0642872341333431,-5.87745012174149e-05
12,2.5e-08,0.122440079451053,0.00010428213104698
12,2.5e-07,0.486821349205834,0.00170408271709824
12,2.5e-07,0.532211122471106,0.00173859929664093
12,2.5e-07,0.585826741039565,0.00151655645584506
12,2.5e-06,1.30249931891089,0.00256094160155658
12,2.5e-06,1.32982778280888,0.00273809112407562
12,2.5e-06,1.33676698857874,0.00260220607136565
12,2.5e-05,1.62772069841518,0.00266291623341635
12,2.5e-05,1.69674452907642,0.00295868290150192
12,2.5e-05,1.70686499494096,0.0030925741792785
