t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3RNA_Obs
0,0.000839587731468578,-0.0120458030680912,0.0116972637266534,210.052095979137,79.2365638070834,-69.9236753008234,-68.1075761789813,0.0115499785019994,0.00693993655151221
4.5,NaN,NaN,0.823734147253187,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.180858254377724,0.349535904258366,NaN,NaN,19.0506464528314,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,41.0557150116775,NaN,NaN
9,NaN,NaN,0.41035681093064,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,36.8518327791278,NaN,NaN,0.00484977785238595
10,NaN,NaN,NaN,155.958989906431,NaN,NaN,NaN,0.00816590479782369,NaN
15,0.213921053286701,0.197703115102756,0.161844077334394,NaN,19.7500308059456,NaN,0.0463229032996146,NaN,NaN
20,0.197969573848928,0.188522700943653,0.152222971738792,199.574969165695,27.6519141254237,456.894549171284,NaN,NaN,0.00471966656556544
25,0.175118585258836,NaN,0.0842538459323496,NaN,22.3437125814011,NaN,263.534257131721,0.0388256503665122,NaN
30,NaN,0.155895864685205,NaN,181.25968108083,NaN,812.670015263236,NaN,NaN,0.0194795958577418
35,0.165422545610889,0.113731800851942,0.0849695702047925,NaN,27.7463639542656,NaN,532.250075351786,0.0813634140114527,NaN
40,NaN,NaN,0.0643901308193591,186.95517328335,NaN,906.603351272154,NaN,NaN,0.0358539852583942
45,0.145086664523121,NaN,NaN,NaN,40.0534754416147,NaN,738.99408438991,NaN,NaN
50,NaN,0.088918588593993,0.0708917018687139,NaN,NaN,918.104575236861,NaN,0.111577471842074,NaN
55,0.15367609086989,NaN,NaN,179.934729998011,39.1913769881652,NaN,NaN,NaN,0.0459773537933667
60,NaN,0.0766796563078988,NaN,NaN,NaN,NaN,891.546619993248,NaN,NaN
65,0.171120603483275,NaN,0.0346085159757911,NaN,NaN,788.097521530287,NaN,0.130407219996961,NaN
70,NaN,NaN,NaN,198.934125592351,48.8101201030928,NaN,949.180066816385,NaN,0.0593825919444952
75,NaN,0.0835062125303617,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0.143404656668666,NaN,NaN,NaN,55.7783920880635,663.095316547241,NaN,0.11074045293529,NaN
85,NaN,NaN,NaN,198.787846983627,NaN,NaN,NaN,NaN,0.0651294783745025
90,NaN,0.0742435889046831,NaN,NaN,NaN,NaN,685.949269702204,NaN,NaN
95,0.164037261477084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.142776764515,0.0571817089665101,NaN,171.792784863044,49.5781368784133,490.026046288971,642.974992498972,0.0912400933791207,0.0629141338897037
150,NaN,NaN,NaN,181.471102158321,60.9843413838765,193.799623506493,328.452099344207,0.0656206619606196,0.060567989042313
200,NaN,NaN,NaN,193.611602604072,NaN,226.904172505785,184.136765271889,0.0492729768956631,0.0514465425957772
