t,p2EpoRpJAK2_Obs,SOCS3RNA_Obs
0,0.0146911373401785,-0.00213059765348437
7,1.03263475437664,NaN
10,NaN,0.0034494013807686
15,0.997637163274306,NaN
20,0.921107412448556,0.0167442761631133
30,0.624110318563183,0.0299126101478568
40,0.565253390132184,NaN
45,NaN,0.0498664252048248
50,0.456527234615225,NaN
55,NaN,0.057678456026529
60,0.301430670316998,NaN
70,NaN,0.0780869635576303
75,0.406862569512431,NaN
90,NaN,0.0801873789536872
95,0.343236253115019,NaN
100,0.260938652403511,0.0808933185509167
150,NaN,0.0955450178365477
