t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3RNA_Obs
0,-0.0180714413492739,-0.0067316033943108,0.0155391905455425,187.040664143503,78.2623022340731,-26.9872419632294,23.1359530060756,-0.00798591551312845,0.00517383412395441
5,NaN,NaN,0.83412686817708,NaN,22.5240279198764,NaN,NaN,NaN,NaN
5.5,0.200593394936364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.332563901355606,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,9.18356802815949,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,174.029507384507,NaN,NaN,NaN
10,0.206286265228348,NaN,0.368170171422272,226.088498688865,24.077249300062,NaN,NaN,0.0130261226079412,-0.00550919738855734
15,NaN,0.208587086611964,0.18176303183252,NaN,21.1218797721836,301.499041678922,-5.62886984360878,NaN,NaN
20,0.188107074846936,0.185727650073823,0.14768931309935,209.202240712056,22.034629215539,NaN,NaN,0.0222416925599754,0.0134809231676113
25,0.179093697425728,0.147840296745878,NaN,NaN,NaN,638.402113169656,314.103698659536,NaN,NaN
30,0.169715987913899,NaN,0.0675427355706067,153.208060219985,27.8721453593718,NaN,369.948999591923,NaN,0.0184261799850545
35,NaN,0.126231549364955,0.0428947450903415,NaN,28.9574679428954,834.12277131358,NaN,0.0877094090034078,NaN
40,0.1825436833798,NaN,NaN,NaN,NaN,NaN,701.408401317915,NaN,NaN
45,NaN,0.0812353560409258,0.0341256328545688,194.358939139223,41.085393072782,929.518187730896,NaN,0.127440429775962,0.0394581471735446
50,0.151258804871643,NaN,NaN,NaN,37.872638747927,NaN,769.466995206907,NaN,NaN
55,NaN,0.0793726393468071,0.0508887538380081,205.697391896061,NaN,749.421944964891,NaN,NaN,NaN
60,0.149613336415669,NaN,NaN,NaN,39.2630226004226,NaN,NaN,0.128813384101067,0.052123188498871
65,NaN,NaN,NaN,NaN,NaN,NaN,830.086526173535,NaN,NaN
70,0.148767424247762,0.0780819802470935,0.0177027672134017,223.93807637419,NaN,711.225365418414,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,46.2111338891607,NaN,748.09713073232,NaN,0.0569733292692281
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.122961602298432,NaN
85,0.142180960551132,0.0822929642636433,NaN,141.252082160101,49.4936743241608,562.647386474042,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,679.269719311581,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0731191845172665
100,0.0938057050393936,0.0587343903620733,NaN,184.745253898015,58.7942664630009,485.653586248561,589.83848546344,0.105700490285804,0.069324100476922
150,NaN,NaN,NaN,191.131490430141,NaN,347.532811654566,391.874094734055,0.0551181065080358,0.0692311354584868
200,NaN,NaN,NaN,174.251739054514,NaN,256.278107846443,281.311903034229,0.0371364126281947,0.0585403351125323
