t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3RNA_Obs
0,-0.014842447182514,0.0250131977050519,-0.0758924250780542,58.2043905236365,78.0090476998073,-107.274620595293,28.5291643631263,0.00107796488266403,-0.00545513855747469
6.5,NaN,0.506180012866816,1.44225292955232,NaN,NaN,NaN,NaN,NaN,NaN
7,0.195599398146381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,11.5878612722696,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,-32.6261080754148,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,130.964818937854,NaN,NaN,NaN
10,NaN,NaN,NaN,61.1083669067048,NaN,NaN,NaN,0.00594882200987952,0.0081649151377489
15,0.203970901940292,0.281146620296117,0.690804780735696,NaN,15.6530638115461,NaN,38.6644248844464,NaN,NaN
20,0.225732857137249,0.283981945967798,0.479404999570592,53.5830667187834,-0.877616824350149,600.922700788457,NaN,NaN,0.0135029373918449
25,NaN,NaN,NaN,NaN,NaN,NaN,219.674725776032,0.0407857949270823,NaN
30,0.214333763248668,0.219671494810269,0.234833424047856,54.9707659432431,23.2078324949063,877.563274932139,NaN,NaN,NaN
35,NaN,0.227322027134192,0.204816074118436,NaN,NaN,NaN,533.264645473751,0.0928159539358258,0.0349291806370771
40,0.219483183713577,NaN,NaN,57.9134081736106,26.2711551287163,939.978693823748,744.512394096937,NaN,NaN
45,NaN,0.198551033036775,0.0919629259795133,NaN,NaN,NaN,NaN,NaN,0.042562576478935
50,0.185260562888056,NaN,NaN,NaN,30.8792659529363,1096.45813468196,NaN,0.152865947758596,NaN
55,NaN,0.18440165368435,NaN,63.1390753669651,NaN,NaN,903.953888777823,NaN,NaN
60,NaN,NaN,0.156678495724339,NaN,38.2560719580575,NaN,NaN,NaN,0.0540969094628633
65,0.202875923339166,NaN,NaN,NaN,NaN,829.975396636055,996.69421487032,0.16144740941642,NaN
70,NaN,0.167603385918204,NaN,57.6901078275112,42.7864581607798,NaN,NaN,NaN,NaN
75,NaN,NaN,0.119614711004793,NaN,NaN,NaN,NaN,NaN,0.0680106744846013
80,0.183974122563404,0.127616143794697,NaN,NaN,NaN,748.495314571878,826.832922155909,0.133415387764002,NaN
85,NaN,NaN,NaN,48.5134021322023,46.284338959398,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0942830886579991,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,587.710128774539,712.979261317843,NaN,0.0742627630761866
100,0.178713531186757,0.173757562820928,0.0167346145218185,47.1470381825841,46.9113240498582,642.639752871315,718.162082615105,0.119856237866164,0.0763677341629702
150,NaN,NaN,NaN,51.0653323412469,53.5142076449805,391.777496760047,391.361278877334,0.0705347514562836,0.0787983101010665
200,NaN,NaN,NaN,61.4745524848799,NaN,361.165458155406,259.719606734574,0.0503075528276158,0.0709960133311247
