t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,CISnRNA2_Obs,SOCS3RNA_Obs
0,-0.0212325391311785,-0.00791610482185016,52.3205788294224,-1.02691497248509,-0.000215608912197234
9.5,0.243812987606043,NaN,NaN,NaN,NaN
10,NaN,0.309379536908331,NaN,NaN,NaN
15,NaN,NaN,45.4771374340498,5.31175282055358,NaN
20,0.199729059339524,0.213835641988681,NaN,NaN,0.000520264481158357
25,NaN,NaN,NaN,20.0476424185615,NaN
30,0.181684470240275,0.150547186656071,51.2579199238178,NaN,NaN
35,NaN,NaN,NaN,NaN,0.0012719923365015
40,0.165268359550058,NaN,NaN,55.7640481911473,NaN
45,NaN,0.100805600729099,NaN,NaN,NaN
50,NaN,NaN,50.9158316071864,NaN,NaN
55,0.14976739923881,0.0821582918228722,NaN,70.3388504568431,0.00338218357523977
65,0.164116927715103,NaN,46.639735749159,NaN,NaN
70,NaN,0.0632435568785234,NaN,72.6504404442112,NaN
75,NaN,NaN,NaN,NaN,0.00461756646980243
80,0.127982069188901,NaN,NaN,NaN,NaN
85,NaN,NaN,41.2074863016157,NaN,NaN
90,NaN,0.0655074391550665,NaN,78.1658701959617,NaN
100,0.123304643680481,0.0834381995595213,42.9466209896729,65.656895258446,0.00692864310777612
150,0.119752775484659,0.0681818107800002,44.5349403363726,63.5568433912497,0.00889492811636825
200,NaN,NaN,50.1453948266678,50.8270202638798,0.00858938252892751
250,NaN,NaN,50.9131163269502,55.7595050122737,0.00859108062195406
300,NaN,NaN,57.2880444221122,43.1319900708535,0.00831531232989599
