t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.00561681738712634,0.0193244789411941,0.00432981594084068,48.9816956537256,-0.0986446674755773,83.3708314163541,0.868785292258899,49.4257463770955,-61.2831049606603,0.00187510068203718,-0.000219741568017375,-0.00434744940286726
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104.40111454011,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,43.8968988262351,NaN,11.0437308367782,14.9590768519659,NaN,-23.2809731706639,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121979292956485,0.0024261176826811,NaN
25,NaN,0.312919055566817,0.358825586027186,NaN,NaN,17.6993342591729,NaN,690.062862234635,197.273355815486,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,20.6973674527375,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,52.3656848084443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0321342093696388
40,0.198337460263597,NaN,NaN,NaN,0.479948810211682,31.1520402405113,NaN,990.597143349353,669.567524353218,0.110955278706151,NaN,NaN
45,NaN,NaN,0.169198197043214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00290472946716686,NaN
50,NaN,0.170669452884277,NaN,NaN,NaN,NaN,15.9415696287898,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,54.4368221915964,NaN,34.8928396498975,NaN,1034.57501503869,972.608754609132,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.165583435418182,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,14.5025379797128,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.109133197835503,NaN,NaN,46.830571575086,NaN,822.911373448899,NaN,NaN,0.00227572540655436,NaN
75,NaN,0.179848543698677,NaN,58.5385527500129,NaN,NaN,NaN,NaN,969.151595720748,NaN,NaN,0.0767915753584827
80,0.210819264318583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.58614304288663,NaN,12.3378545935237,NaN,NaN,0.135990680477403,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,51.3754726714619,NaN,725.636803548831,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,675.459916136949,NaN,0.00199625225667523,NaN
100,0.192038851456313,0.152996484346257,0.0980255795577779,52.3988987849769,NaN,48.1041722453385,10.780139025365,462.538955860724,627.324092897675,0.110503635577477,NaN,0.0773025364699393
150,NaN,0.151628565218064,0.075167908564617,55.3971291436394,0.572710608482071,55.4189144325045,5.67147434095881,456.320182235243,496.993193756528,0.0760062477914167,0.00106129289920689,0.0789403528081312
200,0.159828712318643,0.144215027481572,0.0854568130802151,NaN,NaN,54.8476713595536,4.97541362265752,NaN,345.196256559043,0.0576125052867978,0.000940948209671505,0.0721268709195903
250,0.181333208351784,0.15004079813229,0.0674117211807955,NaN,0.547992525283473,67.3135330002469,4.66082725666759,NaN,364.420379344812,0.0429683833861875,0.000692593914832319,0.0649022673845487
300,0.185581714209052,0.144534370378261,0.0886726817195385,NaN,0.542998775839534,67.5923668695987,3.61933111016826,NaN,NaN,NaN,0.000692872410009518,NaN
350,NaN,0.167725048829286,0.0885986650829101,NaN,0.628503453413205,NaN,NaN,NaN,NaN,0.0443111365367015,0.000730734025994616,0.0526458059289347
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0530335846655261
450,NaN,NaN,NaN,NaN,0.54582439879724,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0469621123419644
550,NaN,NaN,NaN,NaN,0.546393494424062,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0499446041364913
650,NaN,NaN,NaN,NaN,0.570840612247369,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,0.657169810082541,NaN,NaN,NaN,NaN,NaN,NaN,NaN
