t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,CISnRNA2_Obs,SOCS3RNA_Obs
0,0.0191504959996339,0.0164437196246986,60.6637549115296,6.14939287689441,0.000454931492323258
9.5,NaN,0.354162153658172,NaN,NaN,NaN
10,NaN,NaN,NaN,4.87941190524244,NaN
15,0.195703512274248,NaN,51.5033604822935,NaN,0.000643355508244457
20,NaN,0.198442247513463,NaN,NaN,NaN
25,0.172002784055782,NaN,NaN,25.4985818378666,NaN
30,NaN,0.124975823336015,41.9851664513275,NaN,NaN
35,NaN,NaN,NaN,39.0781356022096,0.000686653409196458
40,0.172749911882221,0.110943896690273,NaN,NaN,NaN
50,NaN,NaN,56.6310917947858,69.1531715211069,0.00231586110454473
55,NaN,0.0797342737164062,NaN,NaN,NaN
60,0.153910589635848,NaN,NaN,NaN,NaN
65,NaN,NaN,57.9935283798862,73.8880127462796,NaN
70,NaN,0.0536152076022604,NaN,NaN,0.00482380698877371
75,0.146085446414528,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,70.9897494170378,NaN
85,NaN,0.0887555716441236,52.5846220395464,NaN,NaN
95,0.115261168833556,NaN,NaN,NaN,0.00654068124832663
100,0.144094131420273,0.0847903402472105,44.5027765787788,73.3838625197885,0.00600401040158038
150,0.122497103433546,0.0508268089027305,50.5616267224741,62.180105867148,0.0085702409350588
200,0.111576093291906,NaN,51.9962916829438,46.7163315022712,0.00872558946776965
250,NaN,NaN,53.8656344033584,47.6137302890093,0.00966083253764804
300,NaN,NaN,60.5500875966406,40.8443350802902,NaN
