t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,CISnRNA2_Obs,SOCS3RNA_Obs
0,0.018412744666833,0.0146758463777027,50.1655538295433,30.3755366365822,-0.00228460249047453
8,0.65506194804663,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,16.40858399274,NaN
15,0.425027783568863,0.08228220787373,56.5314278470671,NaN,-0.00055363970149516
25,0.258927319651248,NaN,NaN,157.427395049665,NaN
30,NaN,0.272186127321751,53.4536841791043,NaN,NaN
35,0.197319146323501,NaN,NaN,359.892250634658,0.00284316214639447
45,0.214714046746091,0.203226006844596,42.2628316252858,NaN,NaN
50,NaN,NaN,NaN,418.6072590489,0.0173797599937813
60,0.209472018362402,0.177304423590936,NaN,NaN,NaN
65,NaN,NaN,55.7826012140531,558.945779378331,NaN
70,NaN,NaN,NaN,NaN,0.0333418262371924
75,0.171544732874171,NaN,NaN,NaN,NaN
80,NaN,0.177615895352313,NaN,476.538222486169,NaN
85,NaN,NaN,63.9634549208553,NaN,NaN
95,0.179246839479162,NaN,NaN,NaN,0.0297644474367536
100,0.19236954363807,0.191305539479429,50.5940401486401,465.817933274422,0.040833360325158
150,NaN,0.140211623974706,58.4406483796352,375.790142873045,0.0508855833678983
200,NaN,0.153532164812351,43.9668792095321,366.155741492455,0.0538412577487885
250,NaN,0.123669485347593,44.0721378380494,357.818262552616,0.0560465539628933
300,NaN,NaN,55.1395687198006,346.413424946173,0.0535277674763767
