t,epo_level,SHP1_Obs
9,2.5e-09,52.1866209371797
9,7.905e-09,45.4634494068323
9,7.905e-09,52.5069468594401
9,7.905e-09,52.6430054237717
9,1.25e-08,49.7489564605904
9,1.25e-08,52.0884210964081
9,1.25e-08,54.4339488827061
9,1.75e-08,60.6378939532796
9,2.5e-08,46.770750163989
9,2.5e-08,48.41539773757
9,2.5e-08,52.7955820650044
9,3.95e-08,55.4017967688114
9,7.9e-08,60.389972177267
9,1.25e-07,44.6402668374709
9,1.25e-07,51.6981473362812
9,1.25e-07,52.6010651381517
9,1.7675e-07,56.6429933859304
9,2.5e-07,44.9261334455734
9,2.5e-07,48.9418899347785
9,2.5e-07,50.0141239607023
9,7.905e-07,46.987911466505
9,7.905e-07,55.6593449530033
9,7.905e-07,59.5083680812643
9,2.5e-06,53.8018332098118
