t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,p1EpoRpJAK2_Obs
0,0.000552776936954675,-0.0116661037114698,0.00837204004223473,59.1867100827205,-0.0747819329262173,81.693803018399,-2.8614426106361,0.00166126090647943
10,NaN,NaN,NaN,NaN,NaN,NaN,10.6336896063299,NaN
15,0.234959525370312,0.333256613743534,0.706751449290825,54.6040227750339,NaN,-0.399998906509385,NaN,0.0485812137890656
20,NaN,NaN,NaN,NaN,0.268454534130979,NaN,NaN,NaN
25,NaN,0.309127154149922,0.375921501272264,53.0909579896372,NaN,NaN,18.7861500733723,NaN
30,0.216375972254985,NaN,NaN,NaN,NaN,2.59088477162194,NaN,0.050614516928654
40,NaN,0.264696738016443,0.276478246868028,58.1355352724675,NaN,NaN,25.7963731584152,NaN
45,0.209153873762486,NaN,NaN,NaN,0.481002230111407,NaN,NaN,0.04605504416904
50,NaN,NaN,NaN,NaN,NaN,12.9547331128278,26.1177999593117,NaN
55,NaN,0.248365942954103,0.211075857348595,53.5702328263178,NaN,NaN,NaN,NaN
65,0.228386523523425,NaN,NaN,NaN,NaN,13.6309195891169,21.6035726827471,0.0374536237861111
70,NaN,0.205357239918481,NaN,NaN,0.530927134375878,NaN,NaN,NaN
75,NaN,NaN,0.142254461626926,51.3059830200304,NaN,NaN,NaN,NaN
85,0.184596777704417,NaN,NaN,NaN,NaN,17.9389300518042,22.1281279029774,0.0400633044012729
90,NaN,0.170394736858413,NaN,45.8323906185394,NaN,NaN,NaN,NaN
95,NaN,NaN,0.145605836581263,NaN,0.53056015963266,NaN,NaN,NaN
100,0.178115348812088,0.214443742744638,0.12489603489275,48.729917284944,NaN,17.3312332228704,22.2499715628652,0.0354864330376618
150,0.208300094615647,0.159018060793174,0.1487436081544,43.9683035507463,0.735442210833114,23.2456101518957,20.4894890404126,0.0445579327503705
200,0.168702361513992,0.163570832630548,0.0552219565126779,53.4366418996703,0.684907400106647,23.3173580524751,20.1231302155352,0.0320198386808363
250,0.196866335437241,0.167145568763878,NaN,39.2038595715703,0.677761515053544,27.02591047432,15.4131021782004,0.0341185824741685
300,0.17495946099507,NaN,NaN,NaN,0.721278382907936,22.2677081619911,NaN,NaN
350,NaN,NaN,NaN,NaN,0.719956957749143,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,0.603656157247644,NaN,NaN,NaN
