t,epo_level,p2EpoRpJAK2_Obs,SOCS3RNA_Obs
39,2.5e-09,-0.00216145111735124,-0.0053581848597252
39,2.5e-09,0.0127449297934526,-0.00181774950294085
39,2.5e-09,0.0548599493362382,-0.0015528098506483
39,2.5e-08,0.0764874366868867,0.012260130913001
39,2.5e-08,0.0828419858630422,0.0159211254071977
39,2.5e-08,0.111388532598121,0.0135433119612076
39,1.25e-07,0.132318488617767,0.0260878607841339
39,1.25e-07,0.21293474667096,0.0348973183705323
39,1.25e-07,0.243153619993954,0.0331603191719159
39,2.5e-07,0.292340147027212,0.0358652929510546
39,2.5e-07,0.300002223679998,0.0333246795562971
39,2.5e-07,0.329994763112061,0.045110817573767
39,1.25e-06,0.530290377133573,0.0451406014213103
39,1.25e-06,0.531642073482429,0.0455440877395642
39,1.25e-06,0.571612183560544,0.0418599916341442
39,2.5e-06,0.661681349075894,0.0432832897654481
39,2.5e-06,0.704579213004953,0.0404382194298897
39,2.5e-06,0.712300293000259,0.0404968608225647
