t,STAT5A_Obs,pApA_Obs,nucpApA_Obs,nucpApB_Obs,nucpBpB_Obs
0,137.465164815142,-2.66661360424251e-07,-5.65026666481936,8.8783185677696,0.479426940392802
10,27.5496315537786,1.67525481850033e-05,NaN,NaN,NaN
15,NaN,NaN,149.89260420354,NaN,NaN
20,NaN,7.55261487281313e-06,NaN,NaN,36.8899982803446
25,34.3432920528658,NaN,128.443325617188,NaN,NaN
30,NaN,NaN,NaN,11.0079565955345,NaN
35,43.2391999822607,4.08248452198274e-06,NaN,NaN,NaN
40,NaN,NaN,131.279615359282,NaN,33.3455813688267
45,NaN,3.73357083973322e-06,NaN,NaN,NaN
50,32.3215196441924,NaN,NaN,NaN,NaN
55,NaN,NaN,122.892121607548,NaN,NaN
60,NaN,2.22126829839735e-06,NaN,NaN,28.7918282980293
65,43.9139672472566,NaN,NaN,40.5315733046726,NaN
70,NaN,NaN,105.237905088974,NaN,NaN
80,57.3800004328217,1.56138977507388e-06,NaN,NaN,23.4369662965477
85,NaN,NaN,95.5762811133827,NaN,NaN
95,NaN,1.32096656706223e-06,NaN,NaN,NaN
100,58.0082784911729,NaN,82.0464306050999,65.7284642956441,18.2088172491439
150,74.6330276567401,NaN,61.3026586212021,76.8484508559034,14.4390991821921
200,89.5509522174514,NaN,26.5903607313154,86.3516094757815,5.98338641732791
250,101.731079700261,NaN,20.5950541203704,NaN,2.76827926418952
300,105.425965341094,NaN,10.9303790041515,99.7992255819832,3.4637072052075
350,NaN,NaN,NaN,104.564860557365,1.09442630892617
400,NaN,NaN,NaN,99.5296610349775,NaN
500,NaN,NaN,NaN,98.2646083806819,NaN
650,NaN,NaN,NaN,97.9396971624702,NaN
