conditionId	ActD	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	SOCS3oe	SOCS3prom	STAT5imp	epo_level	CIS	CISHRNA	CISHnRNA1	CISHnRNA2	CISHnRNA3	CISHnRNA4	CISHnRNA5	EpoRJAK2	PTP	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	nSTAT5deact	step_time	vol_cyt	vol_nuc
D01_Merkle_RS06_TC001	0	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0.000000125	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP	(0.6875*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D02_Merkle_RS06_TC002	1	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0.000000125	-(0.6875*CISeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAturn	-(0.6875*CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAturn	-(CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAdelay	-(CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAdelay	-(CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAdelay	-(CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAdelay	-(CISHRNAeqm*CISHRNAbasal*(ActDstrength - 1))/CISHRNAdelay	init_EpoRJAK2	init_PTP	-(0.6875*SOCS3eqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAturn	-(0.6875*SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAturn	-(SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAdelay	-(SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAdelay	-(SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAdelay	-(SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAdelay	-(SOCS3RNAeqm*SOCS3RNAbasal*(ActDstrength - 1))/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D03_Merkle_RS06_TC003	0	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0.00000125	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP	(0.6875*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D04_Merkle_RS06_TC004	0	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0.000000125	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP	(0.6875*SOCS3eqm*SOCS3RNAbasal)/(SOCS3RNAeqm*SOCS3RNAturn)	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D05_Merkle_RS06_TC005	0	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	1	SOCS3prom	STAT5imp	0.000000125	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP	SOCS3eqm*SOCS3eqmOE + (0.6875*SOCS3eqm*SOCS3RNAbasal)/(SOCS3RNAeqm*SOCS3RNAturn)	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D06_Merkle_RS06_TC006	0	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0.000000125	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP*(SHP1proOE + 1)	(0.6875*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D07_Merkle_RS06_TC007	1	ActDstrength	CISHRNAturn	EPORactJAK2	JAK2actEPO	SOCS3RNAdelay	0	SOCS3prom	STAT5imp	0	(0.6875*CISeqm*CISHRNAbasal)/CISHRNAturn	(0.6875*CISHRNAeqm*CISHRNAbasal)/CISHRNAturn	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2	init_PTP	(0.6875*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.6875*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	(SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAdelay	init_STAT5	nSTAT5deact	60	0.4	0.275
D08_Merkle_RS06_TC008	0	ActDstrength*Relto_CFUE_ActDstrength	CISHRNAturn*Relto_CFUE_CISHRNAturn	EPORactJAK2*Relto_CFUE_EPORactJAK2	JAK2actEPO*Relto_CFUE_JAK2actEPO	Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay	0	Relto_CFUE_SOCS3prom*SOCS3prom	Relto_CFUE_STAT5imp*STAT5imp	0.00002	(0.18598615916955017301038062283737*CISeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(0.18598615916955017301038062283737*CISHRNAeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2_H838	init_PTP	(0.18598615916955017301038062283737*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.18598615916955017301038062283737*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	Relto_CFUE_init_STAT5*init_STAT5	Relto_CFUE_nSTAT5deact*nSTAT5deact	30	11.56	2.15
D09_Merkle_RS06_TC009	0	ActDstrength*Relto_CFUE_ActDstrength	CISHRNAturn*Relto_CFUE_CISHRNAturn	EPORactJAK2*Relto_CFUE_EPORactJAK2	JAK2actEPO*Relto_CFUE_JAK2actEPO	Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay	0	Relto_CFUE_SOCS3prom*SOCS3prom	Relto_CFUE_STAT5imp*STAT5imp	0.000033333	(0.18598615916955017301038062283737*CISeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(0.18598615916955017301038062283737*CISHRNAeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2_H838	init_PTP	(0.18598615916955017301038062283737*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.18598615916955017301038062283737*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	Relto_CFUE_init_STAT5*init_STAT5	Relto_CFUE_nSTAT5deact*nSTAT5deact	30	11.56	2.15
D10_Merkle_RS06_TC010	0	ActDstrength*Relto_CFUE_ActDstrength	CISHRNAturn*Relto_CFUE_CISHRNAturn	EPORactJAK2*Relto_CFUE_EPORactJAK2	JAK2actEPO*Relto_CFUE_JAK2actEPO	Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay	0	Relto_CFUE_SOCS3prom*SOCS3prom	Relto_CFUE_STAT5imp*STAT5imp	0.000014286	(0.18598615916955017301038062283737*CISeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(0.18598615916955017301038062283737*CISHRNAeqm*CISHRNAbasal)/(CISHRNAturn*Relto_CFUE_CISHRNAturn)	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	(CISHRNAeqm*CISHRNAbasal)/CISHRNAdelay	init_EpoRJAK2_H838	init_PTP	(0.18598615916955017301038062283737*SOCS3eqm*SOCS3RNAbasal)/SOCS3RNAturn	(0.18598615916955017301038062283737*SOCS3RNAeqm*SOCS3RNAbasal)/SOCS3RNAturn	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	(SOCS3RNAeqm*SOCS3RNAbasal)/(Relto_CFUE_SOCS3RNAdelay*SOCS3RNAdelay)	Relto_CFUE_init_STAT5*init_STAT5	Relto_CFUE_nSTAT5deact*nSTAT5deact	30	11.56	2.15
