t,IPR_I2_Obs,Compound_1_Obs
0,0.144585355522548,-6.47539414073792e-05
0.095,0.495790065194537,NaN
0.15,NaN,0.000275931051299502
0.2,0.837962066797353,NaN
0.3,0.813404868129242,NaN
0.35,NaN,0.000200227295477912
0.4,0.761311860971522,NaN
0.5,NaN,0.000134340979751788
0.55,0.640958312963009,NaN
0.7,0.71032033749145,4.73037817671394e-05
0.9,0.758328192792146,0.000129815354678291
1,0.825481238688404,0.000135628430883489
1.5,NaN,0.000197678122273792
2,NaN,0.000169808322142519
2.5,NaN,0.000182401426794142
