t,input_il6,pJAK1_gp130_Obs
1400,0.1,0.000305810688778194
1400,0.1,4.93961449023668e-05
1400,0.5,0.000689023471767162
1400,0.5,0.000865510254714401
1400,1,0.00176621927103559
1400,1,0.00125390399858401
1400,2.5,0.00486240643303027
1400,2.5,0.00481760130894311
1400,5,0.0153088404703504
1400,5,0.0157997600110362
1400,10,0.00253064253762166
1400,10,0.00222922987738001
1400,25,0.00758189536132042
1400,25,0.00796480588350328
1400,50,0.00329195811551294
1400,50,0.00387484893877924
1400,100,0.0112498768852581
1400,100,0.0115099426096756
1400,500,0.0255179754738852
1400,500,0.0246290990895727
